Team,WinLoss_Record,Win_Percentage,MOV,ATS,Cover_Percentage
LA Lakers,68-24-0,0.7390000000000001,6.0,-0.3,0.608
Milwaukee,61-22-0,0.735,9.0,0.3,0.595
Toronto,60-23-0,0.723,6.0,2.8,0.561
LA Clippers,56-29-0,0.659,6.1,0.2,0.5539999999999999
Boston,58-31-0,0.652,6.1,2.7,0.5529999999999999
Miami,58-36-0,0.617,2.7,1.6,0.531
Denver,55-37-0,0.598,1.2,-0.3,0.53
Utah,47-32-0,0.595,2.6,-1.4,0.529
Okla City,47-32-0,0.595,1.2,1.3,0.524
Indiana,45-32-0,0.584,1.3,-0.2,0.522
Houston,49-35-0,0.583,2.6,-1.6,0.521
Philadelphia,43-34-0,0.5579999999999999,1.6,-0.9,0.517
Dallas,45-36-0,0.556,3.9,1.7,0.514
Phoenix,34-39-0,0.466,0.2,1.3,0.507
Portland,37-43-0,0.46299999999999997,-1.7,-1.1,0.507
Brooklyn,35-41-0,0.461,-1.6,0.3,0.5
Memphis,34-40-0,0.46,-1.1,2.4,0.5
San Antonio,32-39-0,0.451,-1.1,-0.6,0.486
Orlando,34-44-0,0.436,-1.5,-0.2,0.484
Sacramento,31-41-0,0.431,-2.0,-0.1,0.47600000000000003
New Orleans,30-42-0,0.41700000000000004,-1.3,-0.2,0.474
Charlotte,23-42-0,0.354,-6.8,-0.5,0.474
Washington,25-47-0,0.34700000000000003,-4.7,-0.4,0.46799999999999997
Chicago,22-43-0,0.33899999999999997,-3.1,-1.0,0.446
New York,21-45-0,0.318,-6.5,-1.1,0.446
Detroit,20-46-0,0.303,-3.6,-0.4,0.43799999999999994
Atlanta,20-47-0,0.299,-8.0,-2.6,0.434
Minnesota,19-45-0,0.297,-4.3,-1.4,0.429
Cleveland,19-46-0,0.292,-7.9,-1.0,0.406
Golden State,15-50-0,0.231,-8.7,-1.3,0.371
